1;abeam;querab;2;0
2;accept, to;annehmen;1;0
3;according to;entsprechend;1;0
4;accredited;verantwortlich;1;0
5;accumulate, to;ackumulieren;1;0
6;activate;aktivieren, in Betrieb setzen;1;0
7;actual;wirklich;1;1
8;acrobatics;Kunstflug;1;0
9;add, to;hinzufügen;0;2
10;In addition, additional;zusätzlich;1;0
11;adhere to, to;einhalten;1;0
12;adherence;Einhaltung;1;1
13;ADIZ - Air Defence Identification Zone;Flugüberwachungszone;1;0
14;ADIZ boundary;Grenze Flugüberwachungszone;1;0
15;adjacent;anliegend, benachbart;1;1
16;adjoining;angrenzend;1;2
17;advance;Fortschritt;0;1
18;in advance;im voraus;1;2
19;admit, to;zulassen;1;0
20;admissible;zulässig;1;0
21;aerial photography;Luftbildaufnahmen;1;1
22;aerodrome reference point - ARP;Flugplatzbezugspunkt;1;0
23;aerodrome of departure;Startflugplatz, Abflugplatz;1;2
24;aeronautical chart;Luftfahrtkarte;1;1
25;aeronautical station;Flugfunkstelle;1;1
26;aeronautical weather report;Flugwettermeldung;2;3
27;aeroplane;Flugzeug;1;0
28;aeroplane towing;Flugzeugschlepp;1;0
29;aero-tow operations;Flugzeugschleppbetrieb;1;0
30;aero-tow start;Flugzeugschleppstart;1;0
31;aggregates of persons;Menschenansammlung;1;1
32;affected;betroffen;1;1
33;alter, to;ändern;1;0
34;aid;Hilfe;1;0
35;airfield;Landeplatz;1;0
36;airfield operator;Landeplatzhalter;1;1
37;airborne;gestartet;1;0
38;airmiss;Fastzusammenstoß;1;0
39;airmiss report;Meldung über Fastzusammenstoß;1;0
40;aircraft;Luftfahrzeug;1;0
41;aircraft type;Luftfahrzeugmuster;1;2
42;aircraft type designator;Luftfahrzeug-Musterkennzeichnung;1;0
43;air show;Luftfahrtschau;1;0
44;airspace;Luftraum;1;0
45;air traffic;Luftverkehr;1;2
46;air traffic service;Luftverkehrsdienste;1;1
47;air traffic control service - ATC;Luftverkehrskontrolldienst;1;0
48;all day;ganztägig;1;0
49;all-up weight;Gesamtgewicht;1;0
50;allow, to;erlauben;1;1
51;alternate aerodrome;Ausweichflugplatz;1;2
52;altitude;Flughöhe;1;0
53;amend, to;ändern;1;1
54;amendment;Änderung;1;1
55;ammunition depot;Munitionslager;1;2
56;announce, to;bekanntmachen;0;2
57;anticipate, to;vorwegnehmen;1;0
58;applicable;anwendbar;1;0
59;application;Anwendung, Antrag;1;0
60;apply, to;anwenden;1;0
61;apply for, to;beantragen;0;2
62;approach;Anflug;1;0
63;approach aids;Anflughilfen;1;0
64;approach centre line;Anfluggrundlinie;1;0
65;approach to land;Landeanflug;1;0
66;appropriate;angemessen, zutreffend;1;0
67;approval;Genehmigung;1;0
68;appron;Vorfeld;1;0
69;approximately;annähernd, ungefähr;1;0
70;armed forces;Streitkräfte;1;0
71;arrange, to;einrichten;1;0
72;arrival route;Anflugstrecke;1;1
73;as far as;soweit;1;0
74;as soon as;sobald;1;0
75;as well as;sowie;1;0
76;assign, to;zuweisen;1;2
77;assignment;Zuweisung;1;0
78;associated with;in Verbindung mit;0;2
79;ATC clearance;ATC-Freigabe;1;0
80;ATC unit;ATC-Stelle;1;1
81;attached rope;anhängendes Seil;1;0
82;attention shall be paid to;es ist zu achten auf;0;2
83;authority;Behörde;1;0
84;authorization;Genehmigung;1;0
85;authorize, to;genehmigen;1;0
86;autorotation;Autorotation;1;0
87;available;verfügbar;1;0
88;avoid, to;meiden, vermeiden;1;0
89;aware of, to be;sich bewüßt sein;1;1
90;backtraking;zurückrollen;1;0
91;balked landing;durchstarten;1;0
92;base maps;Grundkarten;1;0
93;bearing;Peilung;1;0
94;before;vor;0;1
95;below;unterhalb;0;1
96;between;zwischen;1;0
97;beyond;über ... hinaus;0;1
98;border;Grenze;1;0
99;bounded by;begrenzt durch;1;0
100;braking action;Bremswirkung;1;0
101;briefing;Beratung, Besprechung;1;0
102;broadcasts;Sendung;1;0
103;built-up area;bebautes Gebiet;1;0
104;cabble digging (ditches);Kabelgrabung;0;1
105;call sign;Rufzeichen;1;0
106;calibration;Vermessung;0;1
107;cancel, to;aufheben;1;0
108;care;Vorsicht;1;0
109;careful;vorsichtig;1;0
110;cargo;Fracht, Ladung;1;0
111;cargo dropping;Lastabwurf;1;0
112;carry out, to;durchführen;0;1
113;case;Fall;1;0
114;case of disaster;Katastrophenfall;1;0
115;cause, to;verursachen;1;0
116;cemetery;Friedhof;1;0
117;change, to;ändern, wechseln;1;0
118;circumfly, to;umfliegen;1;0
119;circumstances;Umstände;1;0
120;citizens;Bürger;1;0
121;cloister;Kloster;1;0
122;close, to;schließen;1;0
123;closure;Schließung;1;0
124;commence, to;beginnen;1;0
125;community;Wohngebiet;0;1
126;competent;zuständig;1;0
127;complain, to;sich beschweren;0;1
128;completely;vollständig;1;0
129;compliance;Einhaltung, Befolgung;0;1
130;comply with, to;einhalten, befolgen;1;0
131;compilation;Zusammenstellung;0;1
132;comprise, to;einschließen, enthalten;0;1
133;compulsory reporting point;Pflichtmeldepunkt;1;0
134;conduct;Durchführung;1;0
135;concerned;betreffend;0;1
136;condition;Bedingung, Zustand;0;1
137;conseccutively;aufeinanderfolgend, fortlaufend;0;1
138;consent;Zustimmung;1;0
139;consider, to;betrachen;0;1
140;considered as granted;als erteilt betrachtet;1;0
141;considered as issued;als erteilt betrachtet;0;1
142;connect, to;verbinden, anschließen;1;0
143;connection;Verbindung;1;0
144;conscientious;gewissenhaft;0;1
145;considerable;beträchtlich;1;0
146;constitute, to;darstellen;0;1
147;construction work;Bauarbeiten;1;0
148;construction area;Baugebiet;1;0
149;construction equipment;Baugerät;1;0
150;construction site;Baustelle;1;0
151;contact, to;Verbindung aufnehmen;1;0
152;consult, to;konsultieren, um Rat fragen;1;0
153;contents;Inhalt;1;0
154;continuance;Fortsetzung, Fortführung;0;1
155;continuous;fortgesetzt, ständig;0;1
156;contraction;Zusammenziehung;0;1
157;coordinate, to;koordinieren, absprechen;1;0
158;coordination;Absprache;0;1
159;corresponding;übereinstimmung, entsprechend;2;0
160;corridor;Korridor;1;0
161;country road;Landstraße;1;0
162;cover;Deckel, Überzug;1;0
163;cover, to;decken, bedecken, umfassen;1;0
164;cross, to;durchfliegen, durchqueren, überqueren;1;0
165;cross-country flight;Überlandflug;1;0
166;customs;Zoll;1;0
167;daily;täglich;1;0
168;danger;Gefahr;1;0
169;data;Angaben, Daten;1;0
170;deficiency;unzulänglichkeit;0;1
171;definition;Bestimmung, Begriffsbestimmung;0;1
172;degree;Grad;1;0
173;demarcation;Abgrenzung;0;1
174;demonstration flight;Vorführungsflug;1;0
175;densely populated;dicht besiedelt, dicht bewohnt;0;1
176;departure information;Abfluginformation;0;1
177;departure route;Abflugstrecke;1;0
178;depicted;dargestellt, abgebildet;0;1
179;details;Einzelheiten;0;1
180;determine, to;bestimmen, entscheiden;0;1
181;deviate, to;abweichen;0;1
182;deviation;Abweichung;1;0
183;discontinue, to;aufhören mit, abbrechen;1;0
184;discretion;Belieben, Gutdünken;0;1
185;disposal;Verfügung;1;0
186;distance;Entfernung;0;1
187;district;Gebiet;1;0
188;destination;Ziel;1;0
189;divert, to;ausweichen;1;0
190;distribution;Verteilung, Vertrieb;1;0
191;documentation;Dokumentation;1;0
192;down drafts;Abwinde;1;0
193;down drop;Durchfallen, Durchsacken;0;1
194;down time;Landezeit;1;0
195;downwind (leg);Gegenanflug;1;0
196;draw special attention to, to;besonders hinweisen auf;0;1
197;during;während;1;0
198;e.g, (for example, for instance);z.B. (zum Beispiel);1;0
199;early;früh;1;0
200;earth heaps;Erdhügel, Erdhaufen;1;0
201;economical;ökonomisch, wirtschaftlich;1;0
202;efforts;Anstrengungen, Bemühungen;1;0
203;either ... or;entweder ... oder;1;0
204;eliminate, to;ausschließen, eliminieren;1;0
205;emphasize, to;nachdrüklich betonen, hinweisen;0;1
206;enable, to;befähigen;0;1
207;endanger, to;gefährden;1;0
208;enquire, to  inquire, to;sich erkündigen;0;1
209;en-route;Strecken - …, auf Strecke;1;0
210;en-route flight;Streckenflug;1;0
211;ensure, to;sicherstellen;1;0
212;enter, to;einfliegen;0;1
213;entry;Einflug, Eintrag;1;0
214;equidistant;gleich entfernt;1;0
215;equipped with, to be;ausgerüstet sein mit;1;0
216;equipment;Ausrüstung;1;0
217;especially;insbesondere, besonders;0;1
218;establish, to;festlegen, errichten, herstellen;0;1
219;establish radio communication;Funkverbindung aufnehmen, herstellen;1;0
220;estimated off-block time - EOBT;voraussichtliche Abblockzeit;0;1
221;estimated time of departure - ETD;voraussichtliche Startzeit;0;1
222;even;sogar, gerade (Zahl);1;0
223;event;Ereignis, Vorfall;1;0
224;exceed, to;überschreiten;0;1
225;exceptional cases;Ausnahmefälle;1;0
226;exceptional;Ausnahme;1;0
227;excerpt;Auszug;1;0
228;exclusive;ausschließlich;1;0
229;execute, to;ausführen;1;0
230;exempted;ausgenommen, befreit;0;1
231;exercise aircraft;Übungsluftfahrzeug;1;0
232;exercise area;Übungsgebiet;1;0
233;existing;vorhanden sein, bestehend;0;1
234;experience;Erfahrung;1;0
235;experienced;erfahren;1;0
236;explicit;ausdrücklich;0;1
237;extend, to;verlagern, verlaufen;0;1
238;extent limited in space and time;Außmaß begrenzt nach Raum und Zeit;0;1
239;extremely;äußerst;0;1
